SIGNAL,CEC,SYSTEM,SCENE,LISTENER,PROMPT,NWORDS,HITS,CORRECT,RESPONSE,SEVERITY
CEC1_E018_S08691_L0231,CEC1,CEC1E018,S08691,L0231,so if you spot a public phone box tell me,10,8,80,so if you spot a public photograph tell me ,Mild
CEC1_E018_S08693_L0231,CEC1,CEC1E018,S08693,L0231,there hasn't been anything said about foul play yet,9,9,100,there hasn't been anything said about foul play yet ,Mild
CEC1_E018_S08697_L0229,CEC1,CEC1E018,S08697,L0229,no such distinction was made in the sixteenth century,9,8,88.8888888888889,no such distinction is made in the sixteenth century,Mild
CEC1_E018_S08697_L0242,CEC1,CEC1E018,S08697,L0242,no such distinction was made in the sixteenth century,9,7,77.7777777777778,once the distinction was made in the sixteenth century,Moderately severe
CEC1_E018_S08702_L0240,CEC1,CEC1E018,S08702,L0240,couldn't do it without you you know,7,7,100,couldn't do it without you you know ,Mild
CEC1_E018_S08703_L0218,CEC1,CEC1E018,S08703,L0218,we had an agreement and she broke it,8,8,100,we had an agreement and she broke it,Mild
CEC1_E018_S08704_L0235,CEC1,CEC1E018,S08704,L0235,a couple will each get a personal community charge bill,10,9,90,a couple will each get a community charge bill,Mild
CEC1_E018_S08707_L0200,CEC1,CEC1E018,S08707,L0200,be as realistic and objective as you can,8,3,37.5,subjective as you can,Moderate
CEC1_E018_S08710_L0241,CEC1,CEC1E018,S08710,L0241,but the consumer could benefit still further,7,0,0,#,Moderate
CEC1_E018_S08713_L0231,CEC1,CEC1E018,S08713,L0231,it made no mention of my wife,7,6,85.7142857142857,it made no mention of it on my drive ,Mild
CEC1_E018_S08714_L0201,CEC1,CEC1E018,S08714,L0201,and yet all you are doing is reading a book,10,10,100,and yet all you are doing is reading a book,Mild
CEC1_E018_S08717_L0201,CEC1,CEC1E018,S08717,L0201,whatever she has or does i try to stay ahead,10,4,40,and try to stay ahead,Mild
CEC1_E018_S08719_L0202,CEC1,CEC1E018,S08719,L0202,we chose you you belong to us,7,6,85.7142857142857,we trace you you belong to us,Moderate
CEC1_E018_S08722_L0231,CEC1,CEC1E018,S08722,L0231,now i must leave you he said gently,8,8,100,now i must leave you he said gently ,Mild
CEC1_E018_S08725_L0212,CEC1,CEC1E018,S08725,L0212,the essence of the craftsman will never leave the work,10,8,80,the essence of the question will never leave the word,Moderate
CEC1_E018_S08727_L0208,CEC1,CEC1E018,S08727,L0208,but it was always so hot in the centre,9,9,100,but it was always so hot in the centre,Moderate
CEC1_E018_S08727_L0209,CEC1,CEC1E018,S08727,L0209,but it was always so hot in the centre,9,9,100,but it was always so hot in the centre,Moderate
CEC1_E018_S08729_L0212,CEC1,CEC1E018,S08729,L0212,this week i spoke to my constituent,7,6,85.7142857142857,this week i spoke to my constituents,Moderate
CEC1_E018_S08731_L0221,CEC1,CEC1E018,S08731,L0221,but we decided to love you anyway,7,7,100,but we decided to love you anyway,Moderate
CEC1_E018_S08732_L0222,CEC1,CEC1E018,S08732,L0222,and we need your help with the survey,8,6,75,we need your help with the sorbet,Moderate
CEC1_E018_S08735_L0231,CEC1,CEC1E018,S08735,L0231,the rest can be put down as uncommitted,8,1,12.5,the last thing i said is not repeatable ,Mild
CEC1_E018_S08739_L0201,CEC1,CEC1E018,S08739,L0201,could you please at least tell them it's quite urgent,10,6,60,could you please it's quite urgent,Mild
CEC1_E018_S08742_L0218,CEC1,CEC1E018,S08742,L0218,do they make much fuss about that,7,1,14.2857142857143,even as much ,Mild
CEC1_E018_S08743_L0217,CEC1,CEC1E018,S08743,L0217,wear old clothes and bring a hammer,7,7,100,wear old clothes and bring a hammer,Moderate
CEC1_E018_S08745_L0202,CEC1,CEC1E018,S08745,L0202,afterwards we could look round at leisure,7,6,85.7142857142857,afterwards we could look round as leisure,Moderate
CEC1_E018_S08750_L0217,CEC1,CEC1E018,S08750,L0217,we would like you to keep it,7,0,0,do this,Moderate
CEC1_E018_S08751_L0218,CEC1,CEC1E018,S08751,L0218,the agency however has promised that he'll be in touch,10,3,30,however will be in tact,Mild
CEC1_E018_S08752_L0227,CEC1,CEC1E018,S08752,L0227,and will you be happy to go,7,2,28.5714285714286,prepare to go,Moderate
CEC1_E018_S08752_L0235,CEC1,CEC1E018,S08752,L0235,and will you be happy to go,7,7,100,and will you be happy enough to go,Mild
CEC1_E018_S08756_L0215,CEC1,CEC1E018,S08756,L0215,it isn't fairness that the world needs,7,0,0,to be fair ,Moderate
CEC1_E018_S08759_L0243,CEC1,CEC1E018,S08759,L0243,they never seem to be having a great time,9,0,0,removed ,Mild
CEC1_E018_S08761_L0224,CEC1,CEC1E018,S08761,L0224,you can say you were having a word with me,10,10,100,you can say you were having a word with me,Moderate
CEC1_E018_S08766_L0240,CEC1,CEC1E018,S08766,L0240,it is not made by the local authority,8,7,87.5,it is not named by the local authority,Mild
CEC1_E018_S08767_L0224,CEC1,CEC1E018,S08767,L0224,how come you know he's not in anyway,8,0,0,#,Moderate
CEC1_E018_S08772_L0221,CEC1,CEC1E018,S08772,L0221,for me writing is a primal urge,7,7,100,for me writing is a primal urge,Moderate
CEC1_E018_S08778_L0202,CEC1,CEC1E018,S08778,L0202,it's no good fooling yourself is it,7,5,71.4285714285714,it's no good claiming is it,Moderate
CEC1_E018_S08779_L0202,CEC1,CEC1E018,S08779,L0202,i was just rather rude to you,7,4,57.1428571428571,i would just rather meet you,Moderate
CEC1_E018_S08780_L0224,CEC1,CEC1E018,S08780,L0224,just tell me what i need to know,8,8,100,just tell me what i need to know,Moderate
CEC1_E018_S08781_L0240,CEC1,CEC1E018,S08781,L0240,his smile was wry and full of understanding,8,5,62.5,his smile was wry with little understanding ,Mild
CEC1_E018_S08782_L0215,CEC1,CEC1E018,S08782,L0215,then everything was forgotten except the moment,7,5,71.4285714285714,then everything was forgotten except for,Moderate
CEC1_E018_S08785_L0208,CEC1,CEC1E018,S08785,L0208,apart from one plump couple they were all men,9,9,100,apart from one plump couple  they were all men,Moderate
CEC1_E018_S08785_L0209,CEC1,CEC1E018,S08785,L0209,apart from one plump couple they were all men,9,7,77.7777777777778,apart from one they were all men,Moderate
CEC1_E018_S08786_L0212,CEC1,CEC1E018,S08786,L0212,perhaps you wonder why i married him then,8,6,75,perhaps you wondered why i married him mum,Moderate
CEC1_E018_S08786_L0221,CEC1,CEC1E018,S08786,L0221,perhaps you wonder why i married him then,8,8,100,perhaps you wonder why i married him then,Moderate
CEC1_E018_S08790_L0222,CEC1,CEC1E018,S08790,L0222,what do you know about the rest of the castle,10,9,90,what do you know about the rest of the party,Moderate
CEC1_E018_S08791_L0222,CEC1,CEC1E018,S08791,L0222,you were watching me all the time,7,5,71.4285714285714,they're watching me all the time,Moderate
CEC1_E018_S08794_L0243,CEC1,CEC1E018,S08794,L0243,that is what society is all about isn't it,9,9,100,that is what society is all about isn't it ,Mild
CEC1_E018_S08795_L0222,CEC1,CEC1E018,S08795,L0222,he was here to get a feel for the place,10,7,70,it's years to get a feel for the place,Moderate
CEC1_E018_S08798_L0218,CEC1,CEC1E018,S08798,L0218,be so kind as to answer me,7,1,14.2857142857143,supply answer,Mild
CEC1_E018_S08800_L0241,CEC1,CEC1E018,S08800,L0241,closed from end of october to beginning of march,9,0,0,#,Moderate
CEC1_E018_S08803_L0201,CEC1,CEC1E018,S08803,L0201,they even get their own fan mail,7,7,100,they even get their own fan mail,Mild
CEC1_E018_S08804_L0224,CEC1,CEC1E018,S08804,L0224,no woman however clean can cope with it,8,8,100,no woman however clean can cope with it ,Moderate
CEC1_E018_S08806_L0227,CEC1,CEC1E018,S08806,L0227,perhaps he had forgotten how to speak,7,0,0,what is the school,Moderate
CEC1_E018_S08806_L0229,CEC1,CEC1E018,S08806,L0229,perhaps he had forgotten how to speak,7,6,85.7142857142857,perhaps he has forgotten how to speak,Mild
CEC1_E018_S08806_L0235,CEC1,CEC1E018,S08806,L0235,perhaps he had forgotten how to speak,7,7,100,perhaps he had forgotten how to speak,Mild
CEC1_E018_S08806_L0242,CEC1,CEC1E018,S08806,L0242,perhaps he had forgotten how to speak,7,0,0,#,Moderately severe
CEC1_E018_S08807_L0209,CEC1,CEC1E018,S08807,L0209,the focus of the japanese launch was the consumer market,10,4,40,the japanese market pursue the market,Moderate
CEC1_E018_S08809_L0208,CEC1,CEC1E018,S08809,L0208,he saw the humorous side even of the slump,9,7,77.7777777777778,he saw the humorous side even slump,Moderate
CEC1_E018_S08809_L0209,CEC1,CEC1E018,S08809,L0209,he saw the humorous side even of the slump,9,6,66.6666666666667,he saw the humorous side even as,Moderate
CEC1_E018_S08810_L0202,CEC1,CEC1E018,S08810,L0202,but it's people who convert that into a successful business,10,7,70,people will convert that into a successful business,Moderate
CEC1_E018_S08816_L0200,CEC1,CEC1E018,S08816,L0200,and what do you know he bit out thickly,9,5,55.5555555555556,and what do you know,Moderate
CEC1_E018_S08816_L0240,CEC1,CEC1E018,S08816,L0240,and what do you know he bit out thickly,9,5,55.5555555555556,and what do you know keep it up ,Mild
CEC1_E018_S08817_L0241,CEC1,CEC1E018,S08817,L0241,i must have that photograph he said,7,7,100,i must have that photograph he said,Moderate
CEC1_E018_S08820_L0202,CEC1,CEC1E018,S08820,L0202,a spurious contrast effect is provided in the opening paragraph,10,1,10,ester paragraph,Moderate
CEC1_E018_S08821_L0222,CEC1,CEC1E018,S08821,L0222,he could have used this to burn the diary,9,4,44.4444444444444,she could have used it to stay,Moderate
CEC1_E018_S08824_L0224,CEC1,CEC1E018,S08824,L0224,i thought you were dead for sure,7,7,100,i thought you were dead for sure ,Moderate
CEC1_E018_S08829_L0227,CEC1,CEC1E018,S08829,L0227,my son was a fool he said,7,2,28.5714285714286,you're he said ,Moderate
CEC1_E018_S08829_L0235,CEC1,CEC1E018,S08829,L0235,my son was a fool he said,7,5,71.4285714285714,my son is a he said,Mild
CEC1_E018_S08831_L0218,CEC1,CEC1E018,S08831,L0218,the following comment is from one member of this board,10,10,100,the following comment though is from one member of this board ,Mild
CEC1_E018_S08833_L0212,CEC1,CEC1E018,S08833,L0212,she twisted round to look up at him,8,0,0,frowned,Moderate
CEC1_E018_S08833_L0221,CEC1,CEC1E018,S08833,L0221,she twisted round to look up at him,8,0,0,it was avowed,Moderate
CEC1_E018_S08835_L0219,CEC1,CEC1E018,S08835,L0219,i'm not worried about that because i love you,9,8,88.8888888888889,i'm not worried about that because i love him,Moderate
CEC1_E018_S08835_L0231,CEC1,CEC1E018,S08835,L0231,i'm not worried about that because i love you,9,9,100,i'm not worried about that because i love you,Mild
CEC1_E018_S08836_L0212,CEC1,CEC1E018,S08836,L0212,i'm sorry but can we get one thing straight,9,9,100,i'm sorry but can we get one thing straight,Moderate
CEC1_E018_S08836_L0221,CEC1,CEC1E018,S08836,L0221,i'm sorry but can we get one thing straight,9,9,100,i'm sorry but can we get one thing straight,Moderate
CEC1_E018_S08837_L0241,CEC1,CEC1E018,S08837,L0241,is this because they think they are without inhumane behaviour,10,2,20,is this the conflict media,Moderate
CEC1_E018_S08838_L0231,CEC1,CEC1E018,S08838,L0231,she raised the pipe again and spat hard,8,7,87.5,she rise the pipe again and spat hard,Mild
CEC1_E018_S08843_L0200,CEC1,CEC1E018,S08843,L0200,but it's only just gone four o'clock,7,0,0,#,Moderate
CEC1_E018_S08846_L0224,CEC1,CEC1E018,S08846,L0224,sometimes i think the latter sometimes the former,8,8,100,sometimes i think the latter sometimes the former ,Moderate
CEC1_E018_S08847_L0200,CEC1,CEC1E018,S08847,L0200,from a commercial point of view however liquidity is fundamental,10,7,70,from a commercial point of view that is,Moderate
CEC1_E018_S08851_L0219,CEC1,CEC1E018,S08851,L0219,why did england fail to exploit the discovery,8,7,87.5,why did england fail to explore the discovery,Moderate
CEC1_E018_S08853_L0217,CEC1,CEC1E018,S08853,L0217,that i think is a healthy enough attitude,8,8,100,that i think is a healthy enough attitude,Moderate
CEC1_E018_S08854_L0209,CEC1,CEC1E018,S08854,L0209,it was out of the blackness that the sea came,10,6,60,it is out of the blackness we see,Moderate
CEC1_E018_S08855_L0215,CEC1,CEC1E018,S08855,L0215,it wouldn't be right to do that,7,7,100,it wouldn't be right to do that,Moderate
CEC1_E018_S08856_L0217,CEC1,CEC1E018,S08856,L0217,i don't understand why they sent you,7,7,100,i don't understand why they sent you,Moderate
CEC1_E018_S08858_L0200,CEC1,CEC1E018,S08858,L0200,they made me feel older than they were,8,4,50,they made me feel,Moderate
CEC1_E018_S08858_L0240,CEC1,CEC1E018,S08858,L0240,they made me feel older than they were,8,8,100,they made me feel older than they were ,Mild
CEC1_E018_S08862_L0212,CEC1,CEC1E018,S08862,L0212,he was very good with them as the phrase went,10,0,0,#,Moderate
CEC1_E018_S08867_L0219,CEC1,CEC1E018,S08867,L0219,ray can then reply down the phone,7,0,0,#,Moderate
CEC1_E018_S08869_L0224,CEC1,CEC1E018,S08869,L0224,but he would not be following or watching her,9,6,66.6666666666667,but he was not controlling or watching her ,Moderate
CEC1_E018_S08870_L0200,CEC1,CEC1E018,S08870,L0200,will i get some in for you now,8,2,25,shall i get someone to,Moderate
CEC1_E018_S08871_L0231,CEC1,CEC1E018,S08871,L0231,but what is the entity in this case,8,8,100,but what is the entity in this case ,Mild
CEC1_E018_S08872_L0217,CEC1,CEC1E018,S08872,L0217,i break them in for my dad,7,0,0,#,Moderate
CEC1_E018_S08873_L0217,CEC1,CEC1E018,S08873,L0217,no they have gone a bit cool towards her,9,1,11.1111111111111,no,Moderate
CEC1_E018_S08875_L0229,CEC1,CEC1E018,S08875,L0229,somehow it was hard to imagine him in the gym,10,2,20,imagine gym,Mild
CEC1_E018_S08875_L0242,CEC1,CEC1E018,S08875,L0242,somehow it was hard to imagine him in the gym,10,3,30,some of them is hard to imagine them,Moderately severe
CEC1_E018_S08879_L0212,CEC1,CEC1E018,S08879,L0212,my memory wretched thing is still playing truant,8,3,37.5,my naming don't you think is still,Moderate
CEC1_E018_S08883_L0219,CEC1,CEC1E018,S08883,L0219,i have no idea where he is,7,7,100,i have no idea where he is,Moderate
CEC1_E018_S08884_L0219,CEC1,CEC1E018,S08884,L0219,there is no substitute for personal contact in this work,10,10,100,there is no substitute for personal contact in this work,Moderate
CEC1_E018_S08887_L0202,CEC1,CEC1E018,S08887,L0202,but he'll get it first thing in the morning,9,0,0,he invented frostan,Moderate
CEC1_E018_S08889_L0222,CEC1,CEC1E018,S08889,L0222,this was a real answer to prayer,7,6,85.7142857142857,this was real answer to prayer,Moderate
CEC1_E018_S08890_L0243,CEC1,CEC1E018,S08890,L0243,you are like children playing a game,7,1,14.2857142857143,you ,Mild
CEC1_E018_S08891_L0219,CEC1,CEC1E018,S08891,L0219,by then i also had my own bread,8,7,87.5,by then i also had my own brand,Moderate
CEC1_E018_S08894_L0242,CEC1,CEC1E018,S08894,L0242,that doesn't mean i can't talk to you does it,10,10,100,that doesn't mean i can't talk to you does it,Moderately severe
CEC1_E018_S08895_L0201,CEC1,CEC1E018,S08895,L0201,there won't be another for an hour she cried,9,0,0,#,Mild
CEC1_E018_S08897_L0231,CEC1,CEC1E018,S08897,L0231,i don't think anyone should take any notice of them,10,10,100,i don't think anyone should take any notice of them ,Mild
CEC1_E018_S08899_L0231,CEC1,CEC1E018,S08899,L0231,i am talking about a statutory register,7,7,100,i am talking about a statutory register ,Mild
CEC1_E018_S08901_L0208,CEC1,CEC1E018,S08901,L0208,i hold your hand and you hold mine,8,8,100,i hold your hand and you hold mine,Moderate
CEC1_E018_S08903_L0217,CEC1,CEC1E018,S08903,L0217,however there was one small but significant error,8,1,12.5,small,Moderate
CEC1_E018_S08905_L0236,CEC1,CEC1E018,S08905,L0236,don't you yet understand boy what you mean to me,10,9,90,don't you understand boy what you mean to me,Moderately severe
CEC1_E018_S08907_L0209,CEC1,CEC1E018,S08907,L0209,but what does living together as husband and wife mean,10,10,100,but what does living together as husband and wife mean,Moderate
CEC1_E018_S08908_L0222,CEC1,CEC1E018,S08908,L0222,the speed of change should not be exaggerated,8,7,87.5,the seas of change should not be exaggerated,Moderate
CEC1_E018_S08911_L0241,CEC1,CEC1E018,S08911,L0241,she felt ashamed of being such a failure,8,0,0,it's a shame the few,Moderate
CEC1_E018_S08916_L0215,CEC1,CEC1E018,S08916,L0215,and we both know that force wouldn't be necessary,9,2,22.2222222222222,we wouldn't know,Moderate
CEC1_E018_S08917_L0219,CEC1,CEC1E018,S08917,L0219,exactly the sort of man you would not suspect,9,7,77.7777777777778,exactly the sort of bird that you would not expect,Moderate
CEC1_E018_S08919_L0236,CEC1,CEC1E018,S08919,L0236,this is the end of my criminal career he said,10,7,70,this is the end of my career,Moderately severe
CEC1_E018_S08922_L0215,CEC1,CEC1E018,S08922,L0215,why don't you stay sunday as well,7,4,57.1428571428571,why didn't you not say some of them as well ,Moderate
CEC1_E018_S08923_L0215,CEC1,CEC1E018,S08923,L0215,this is a classic sauce to serve with fish,9,5,55.5555555555556,this is a classic thought to change the pitch,Moderate
CEC1_E018_S08928_L0201,CEC1,CEC1E018,S08928,L0201,she had plenty to get on with meanwhile,8,8,100,she had plenty to get on with meanwhile,Mild
CEC1_E018_S08929_L0241,CEC1,CEC1E018,S08929,L0241,i think it's a good reason for not getting married,10,0,0,#,Moderate
CEC1_E018_S08931_L0212,CEC1,CEC1E018,S08931,L0212,she was great fun charming and kind says a friend,10,6,60,she was great fun tiny and hymen said the friend,Moderate
CEC1_E018_S08934_L0227,CEC1,CEC1E018,S08934,L0227,she pointed along the counter to the till,8,0,0,he would,Moderate
CEC1_E018_S08934_L0235,CEC1,CEC1E018,S08934,L0235,she pointed along the counter to the till,8,2,25,she point a lot to nothing,Mild
CEC1_E018_S08935_L0243,CEC1,CEC1E018,S08935,L0243,what did you do with the screen,7,6,85.7142857142857,what did you do with the sleeve ,Mild
CEC1_E018_S08936_L0212,CEC1,CEC1E018,S08936,L0212,maybe i can find someone to apprentice me,8,7,87.5,maybe i can find someone to apprentice him,Moderate
CEC1_E018_S08936_L0221,CEC1,CEC1E018,S08936,L0221,maybe i can find someone to apprentice me,8,8,100,maybe i can find someone to apprentice me,Moderate
CEC1_E018_S08937_L0219,CEC1,CEC1E018,S08937,L0219,i think it's where we ought to be going,9,1,11.1111111111111,going going,Moderate
CEC1_E018_S08939_L0242,CEC1,CEC1E018,S08939,L0242,all are appointed by the lord chancellor,7,7,100,all are appointed by the lord chancellor,Moderately severe
CEC1_E018_S08940_L0212,CEC1,CEC1E018,S08940,L0212,but it does not work like that,7,7,100,but it does not work like that,Moderate
CEC1_E018_S08941_L0224,CEC1,CEC1E018,S08941,L0224,all but two of them shed weight,7,3,42.8571428571429,all the shed weight ,Moderate
CEC1_E018_S08942_L0227,CEC1,CEC1E018,S08942,L0227,the quality of housing is also improving all the time,10,1,10,pushed for time,Moderate
CEC1_E018_S08942_L0235,CEC1,CEC1E018,S08942,L0235,the quality of housing is also improving all the time,10,8,80,the quality of housing is important all the time,Mild
CEC1_E018_S08943_L0240,CEC1,CEC1E018,S08943,L0240,the door to his office was always open,8,4,50,the door is always open,Mild
CEC1_E018_S08949_L0236,CEC1,CEC1E018,S08949,L0236,you would have to question whether she is genuine,9,8,88.8888888888889,you would have to question whether she was genuine,Moderately severe
CEC1_E018_S08950_L0236,CEC1,CEC1E018,S08950,L0236,the answer is likely to be in the kitchen,9,9,100,the answer is likely to be in the kitchen,Moderately severe
CEC1_E018_S08952_L0200,CEC1,CEC1E018,S08952,L0200,it is not business as usual with china,8,7,87.5,it was not business as usual with china,Moderate
CEC1_E018_S08952_L0240,CEC1,CEC1E018,S08952,L0240,it is not business as usual with china,8,6,75,it is now business as usual for china ,Mild
CEC1_E018_S08955_L0222,CEC1,CEC1E018,S08955,L0222,your mother needs help with the washing,7,7,100,your mother needs help with the washing,Moderate
CEC1_E018_S08956_L0212,CEC1,CEC1E018,S08956,L0212,there is also the need for emotional stability,8,5,62.5,there was also the need of emotionless stability,Moderate
CEC1_E018_S08956_L0221,CEC1,CEC1E018,S08956,L0221,there is also the need for emotional stability,8,8,100,there is also the need for emotional stability,Moderate
CEC1_E018_S08958_L0222,CEC1,CEC1E018,S08958,L0222,he will talk about us to the cook,8,4,50,you may talk about us but i cook,Moderate
CEC1_E018_S08959_L0202,CEC1,CEC1E018,S08959,L0202,having the collision was the easy part,7,3,42.8571428571429,having the commission was,Moderate
CEC1_E018_S08960_L0218,CEC1,CEC1E018,S08960,L0218,my waking thought is what will i eat today,9,4,44.4444444444444,my what i today ,Mild
CEC1_E018_S08961_L0227,CEC1,CEC1E018,S08961,L0227,well it's a pity you said it now,8,1,12.5,well,Moderate
CEC1_E018_S08961_L0241,CEC1,CEC1E018,S08961,L0241,well it's a pity you said it now,8,1,12.5,now,Moderate
CEC1_E018_S08962_L0236,CEC1,CEC1E018,S08962,L0236,in the circumstances i could hardly refuse,7,0,0,someone was in tears,Moderately severe
CEC1_E018_S08967_L0218,CEC1,CEC1E018,S08967,L0218,dad sat back looking pleased with himself,7,2,28.5714285714286,jan sat back and then,Mild
CEC1_E018_S08971_L0209,CEC1,CEC1E018,S08971,L0209,how did you pass the lower guard,7,7,100,how did you pass the lower guard,Moderate
CEC1_E018_S08974_L0227,CEC1,CEC1E018,S08974,L0227,the basic branching rule is very simple,7,0,0,proper,Moderate
CEC1_E018_S08974_L0241,CEC1,CEC1E018,S08974,L0241,the basic branching rule is very simple,7,2,28.5714285714286,very simple,Moderate
CEC1_E018_S08976_L0224,CEC1,CEC1E018,S08976,L0224,the question was what should he say,7,3,42.8571428571429,the question was why i should ,Moderate
CEC1_E018_S08977_L0241,CEC1,CEC1E018,S08977,L0241,it is something else i cannot understand,7,7,100,it is something else i cannot understand,Moderate
CEC1_E018_S08979_L0224,CEC1,CEC1E018,S08979,L0224,i remember the teacher who hit me with a stick,10,10,100,i remember the teacher who hit me with a stick ,Moderate
CEC1_E018_S08980_L0212,CEC1,CEC1E018,S08980,L0212,eloquence alone was sufficient to defeat the motion,8,5,62.5,is sufficient to defeat the motion,Moderate
CEC1_E018_S08980_L0221,CEC1,CEC1E018,S08980,L0221,eloquence alone was sufficient to defeat the motion,8,6,75,our was sufficient to defeat the motion,Moderate
CEC1_E018_S08987_L0224,CEC1,CEC1E018,S08987,L0224,he did not want anything to go wrong,8,8,100,he did not want anything to go wrong,Moderate
CEC1_E018_S08993_L0222,CEC1,CEC1E018,S08993,L0222,she forced her voice down an octave,7,0,0,#,Moderate
CEC1_E018_S08998_L0208,CEC1,CEC1E018,S08998,L0208,could he get leave for this dance,7,6,85.7142857142857,could he get for this dance,Moderate
CEC1_E018_S08999_L0229,CEC1,CEC1E018,S08999,L0229,staff are underpaid and know next to nothing about wine,10,9,90,staff are underpaid and know next to nothing about why,Mild
CEC1_E018_S08999_L0235,CEC1,CEC1E018,S08999,L0235,staff are underpaid and know next to nothing about wine,10,10,100,staff are underpaid and know next to nothing about wine ,Mild
CEC1_E018_S09000_L0231,CEC1,CEC1E018,S09000,L0231,but then they would have heard her surely,8,8,100,but then they would have heard her surely ,Mild
CEC1_E018_S09006_L0241,CEC1,CEC1E018,S09006,L0241,and then for an instant time reversed,7,2,28.5714285714286,and then,Moderate
CEC1_E018_S09009_L0217,CEC1,CEC1E018,S09009,L0217,needless to say some did survive and prosper,8,8,100,needless to say some did survive and prosper,Moderate
CEC1_E018_S09011_L0227,CEC1,CEC1E018,S09011,L0227,it's a gun he said bending to pick it up,10,2,20,to put up,Moderate
CEC1_E018_S09011_L0235,CEC1,CEC1E018,S09011,L0235,it's a gun he said bending to pick it up,10,10,100,it's a gun he said bending to pick it up,Mild
CEC1_E018_S09017_L0229,CEC1,CEC1E018,S09017,L0229,a more complete unification would not be possible,8,0,0,what,Mild
CEC1_E018_S09017_L0242,CEC1,CEC1E018,S09017,L0242,a more complete unification would not be possible,8,0,0,#,Moderately severe
CEC1_E018_S09018_L0200,CEC1,CEC1E018,S09018,L0200,i've had them make up a bed for you,9,9,100,i've had them make up a bed for you,Moderate
CEC1_E018_S09021_L0222,CEC1,CEC1E018,S09021,L0222,water must be soft and very clear,7,3,42.8571428571429,water itself is very clear,Moderate
CEC1_E018_S09025_L0208,CEC1,CEC1E018,S09025,L0208,that may begin to teach you your proper place,9,9,100,that may begin to teach you your proper place,Moderate
CEC1_E018_S09026_L0229,CEC1,CEC1E018,S09026,L0229,why would i want to hurt her,7,7,100,why would i want to hurt her,Mild
CEC1_E018_S09026_L0235,CEC1,CEC1E018,S09026,L0235,why would i want to hurt her,7,7,100,why would i want to hurt her,Mild
CEC1_E018_S09028_L0209,CEC1,CEC1E018,S09028,L0209,well they do wonders with plastic surgery,7,7,100,well they do wonders with plastic surgery,Moderate
CEC1_E018_S09029_L0227,CEC1,CEC1E018,S09029,L0227,who am i to argue with the bard,8,2,25,help with the,Moderate
CEC1_E018_S09029_L0241,CEC1,CEC1E018,S09029,L0241,who am i to argue with the bard,8,1,12.5,you argue diner,Moderate
CEC1_E018_S09030_L0215,CEC1,CEC1E018,S09030,L0215,still she was on her own and not very brave,10,0,0,#,Moderate
CEC1_E018_S09034_L0243,CEC1,CEC1E018,S09034,L0243,the perimeter path was beside the coal mountain,8,0,0,apart was the size of whole numbers,Mild
CEC1_E018_S09036_L0208,CEC1,CEC1E018,S09036,L0208,perhaps i was wrong in what i then did,9,1,11.1111111111111,then that's wrong,Moderate
CEC1_E018_S09039_L0208,CEC1,CEC1E018,S09039,L0208,so the last day was going to be a test,10,8,80,so the last thing is going to be a test,Moderate
CEC1_E018_S09040_L0236,CEC1,CEC1E018,S09040,L0236,finally he found another field where he could hide,9,6,66.6666666666667,sonny found another tour where he could hide ,Moderately severe
CEC1_E018_S09044_L0219,CEC1,CEC1E018,S09044,L0219,he's not pleased jenny said after a small pause,9,4,44.4444444444444,after a small pause,Moderate
CEC1_E018_S09044_L0231,CEC1,CEC1E018,S09044,L0231,he's not pleased jenny said after a small pause,9,9,100,he's not pleased jenny said after a small pause ,Mild
CEC1_E018_S09046_L0231,CEC1,CEC1E018,S09046,L0231,she made a huge effort to calm herself,8,8,100,she made a huge effort to calm herself ,Mild
CEC1_E018_S09047_L0208,CEC1,CEC1E018,S09047,L0208,we communicate with other people throughout our lives,8,8,100,we communicate with other people throughout our lives,Moderate
CEC1_E018_S09049_L0242,CEC1,CEC1E018,S09049,L0242,most of us value a good listener,7,3,42.8571428571429,most of us the business man,Moderately severe
CEC1_E018_S09051_L0212,CEC1,CEC1E018,S09051,L0212,there isn't much scope for skill here,7,7,100,there isn't much scope for skill here,Moderate
CEC1_E018_S09052_L0236,CEC1,CEC1E018,S09052,L0236,she had summed up his immediate task in a nutshell,10,5,50,she would sum up the mood and tell us in a nutshell ,Moderately severe
CEC1_E018_S09057_L0209,CEC1,CEC1E018,S09057,L0209,at first the plan did not go well,8,8,100,at first the plan did not go well,Moderate
CEC1_E018_S09061_L0215,CEC1,CEC1E018,S09061,L0215,i didn't expect anything in return for them,8,6,75,i didn't expect anything from the return of them,Moderate
CEC1_E018_S09065_L0242,CEC1,CEC1E018,S09065,L0242,indeed the longer you kept them the better they became,10,4,40,indeed the longer we stop them,Moderately severe
CEC1_E018_S09069_L0212,CEC1,CEC1E018,S09069,L0212,he didn't want to play the game part time,9,9,100,he didn't want to play the game part time,Moderate
CEC1_E018_S09070_L0217,CEC1,CEC1E018,S09070,L0217,i love you better than anything in the world,9,9,100,i love you better than anything in the world,Moderate
CEC1_E018_S09071_L0200,CEC1,CEC1E018,S09071,L0200,would such a document be difficult to trace,8,7,87.5,would such a document be difficult to,Moderate
CEC1_E018_S09071_L0240,CEC1,CEC1E018,S09071,L0240,would such a document be difficult to trace,8,2,25,what that document too ,Mild
CEC1_E018_S09073_L0222,CEC1,CEC1E018,S09073,L0222,he spurred the horse into a canter,7,7,100,he spurred the horse into a canter,Moderate
